Docência do Ensino Superior
Docência do Ensino Superior e Inspeção Escolar
Docência na Educação Infantil e Anos Iniciais
Alfabetização e Letramento
Arte e Educação
Atendimento Educacional Especializado
Coordenação Pedagógica e Planejamento
Coordenação Pedagógica e Supervisão Escolar
Educação Ambiental e Sustentabilidade
Educação Infantil
"Educação Infantil, Neurociência e Aprendizagem"
Informática e Comunicação na Educação
Inspeção Escolar e Orientação Educacional
Inspeção Escolar e Práticas de Supervisão
Inspeção Escolar e Supervisão Pedagógica
Psicopedagogia Institucional
Psicopedagogia e Educação Especial
Libras
Tutoria em Educação a Distância
Ludopedagogia e Educação Infantil
Matemática Financeira e Estatística
"Supervisão, Inspeção e Orientação Educacional"
Supervisão Escolar e Orientação Educacional
Supervisão Escolar e Gestão de Projetos
Supervisão e Administração Escolar
Educação Especial Inclusiva
Gestão Escolar Integrada e Práticas Pedagógicas
Gestão Ambiental e Práticas Pedagógicas
Administração Escolar e Planejamento
Administração Escolar e Orientação Educacional
Administração e Inspeção Escolar
Transtornos Globais do Desenvolvimento e Comunicação Alternativa
"Educação Infantil, Especial e Transtornos Globais"
"Educação Inclusiva, Especial e Políticas de Inclusão"
Educação Infantil e Psicomotricidade Clínica
Gestão Educacional e Educação Infantil
Gestão Educacional e Inspeção Escolar
Psicopedagogia e Supervisão Escolar
Educação em Saúde
Atuação Profissional Inclusiva
"Administração Escolar, Supervisão e Orientação"
Orientação Educacional e Práticas de Supervisão
Educação Infantil de 0 a 6 anos
Educação Especial Inclusiva - ênfase em Tec. Assistiva e Comunicação Alternativa
Psicopedagogia Institucional e Clínica
Educação Musical
Educação Especial com ênfase em Deficiência Intelectual
Educação Especial Inclusiva 800h
Pedagogia (Licenciatura)
Pedagogia para Licenciados (2ª Licenciatura) - (6 meses) NOVO
Formação Pedagógica para Graduados (1ª Licenciatura) - Pedagogia (6 meses) NOVO
Educação Infantil - Anos Iniciais e Psicopedagogia NOVO
Metodologia do Ensino da Matemática NOVO
Metodologia do Ensino da Língua Portuguesa NOVO
Planejamento Educacional NOVO
Metodologia do Ensino da Literatura Portuguesa e Brasileira NOVO
"Metodologia do Ensino da Língua Portuguesa, Literatura Brasileira e Portuguesa NOVO"
Educação a Distância NOVO
O Ensino de Libras na Educação Infantil NOVO
Educação de Jovens e Adultos (EJA) NOVO
Metodologia do Ensino da História com ênfase em História Antiga NOVO
Metodologia do Ensino da História com ênfase em História Medieval NOVO
Metodologia do Ensino da História com ênfase em História Moderna NOVO
Metodologia do Ensino da Geografia NOVO
Psicologia da Educação NOVO
Metodologia do Ensino da História e da Geografia NOVO
Metodologia do Ensino da Linguística NOVO
Atendimento Educacional Especializado com ênfase em Autismo NOVO
Educação Especial e Inclusiva com ênfase em Deficiência Motora e Paralisia Cerebral NOVO
Metodologia no Ensino das Artes com Ênfase na Educação Básica NOVO
História e Cultura no Brasil NOVO
Linguística e Formação de Leitores NOVO
Metodologia do Ensino da Literatura Africana e Indígena NOVO
Inovação em Tecnologias Educacionais NOVO
"Educação, Ludicidade e Desenvolvimento Infantil NOVO"
História da Arte NOVO
